DATE,LATITUDE,LONGITUDE,INJURED,KILLED,PED_INJURED,PED_KILLED,CYC_INJURED,CYC_KILLED,MOT_INJURED,MOT_KILLED
05/06/2017,40.69335,-73.93414,0,0,0,0,0,0,0,0
05/06/2017,40.84299,-73.82625,0,0,0,0,0,0,0,0
05/06/2017,40.72085,-74.00394,0,0,0,0,0,0,0,0
05/06/2017,40.73624,-73.81055,0,0,0,0,0,0,0,0
05/06/2017,40.73084,-73.71204,0,0,0,0,0,0,0,0
05/06/2017,40.73374,-74.0063,0,0,0,0,0,0,0,0
05/06/2017,40.612167,-74.13664,0,0,0,0,0,0,0,0
05/06/2017,40.71582,-73.80799,0,0,0,0,0,0,0,0
05/06/2017,40.703655,-73.822464,0,0,0,0,0,0,0,0
05/06/2017,40.871906,-73.86178,0,0,0,0,0,0,0,0
05/06/2017,40.713963,-73.8851,1,0,0,0,0,0,1,0
05/06/2017,40.71042,-73.85964,0,0,0,0,0,0,0,0
05/06/2017,40.5377,-74.15002,0,0,0,0,0,0,0,0
05/06/2017,40.78214,-73.824844,0,0,0,0,0,0,0,0
05/06/2017,40.677162,-73.97245,1,0,0,0,1,0,0,0
05/06/2017,40.716015,-74.00883,0,0,0,0,0,0,0,0
05/06/2017,40.784462,-73.97737,0,0,0,0,0,0,0,0
05/06/2017,40.75092,-73.86224,0,0,0,0,0,0,0,0
05/06/2017,40.628807,-74.11112,0,0,0,0,0,0,0,0
05/06/2017,40.814575,-73.814896,0,0,0,0,0,0,0,0
05/06/2017,40.74916,-73.88991,0,0,0,0,0,0,0,0
05/06/2017,40.75455,-73.74317,2,0,0,0,0,0,2,0
05/06/2017,40.67236,-74.01123,0,0,0,0,0,0,0,0
05/06/2017,40.672203,-73.80873,0,0,0,0,0,0,0,0
05/06/2017,40.704422,-73.792854,0,0,0,0,0,0,0,0
05/06/2017,40.729355,-73.86023,0,0,0,0,0,0,0,0
05/06/2017,40.698368,-73.996956,0,0,0,0,0,0,0,0
05/06/2017,40.74285,-73.830284,0,0,0,0,0,0,0,0
05/06/2017,40.873695,-73.90816,0,0,0,0,0,0,0,0
05/06/2017,40.876236,-73.85124,0,0,0,0,0,0,0,0
05/06/2017,40.688534,-73831,0,0,0,0,0,0,0,0
05/06/2017,40.63749,-73.9733,0,0,0,0,0,0,0,0
05/06/2017,40.71151,-73.95597,0,0,0,0,0,0,0,0
05/06/2017,40.726337,-73.94729,0,0,0,0,0,0,0,0
05/06/2017,40712,-73.96324,0,0,0,0,0,0,0,0
05/06/2017,40.74003,-73.78629,0,0,0,0,0,0,0,0
